id,breach_date,name,industry,country,records_exposed,breach_type,source_url
291,2022-07-26,Systems Systems,Media,AU,61941,System Error,https://krebsonsecurity.com/breach-0291
292,2020-11-09,Systems 3 Solutions,Technology,BR,282052,System Error,https://infosecurity-magazine.com/breach-0292
293,2022-10-31,Care International Group,Healthcare,IT,351460,Insider,https://threatpost.com/breach-0293
294,2022-06-24,State Group,Government,NO,182798,Insider,https://therecord.media/breach-0294
295,2022-11-13,Systems National LLC,Transportation,ES,202715,System Error,https://krebsonsecurity.com/breach-0295
296,2023-06-20,Cloud International Corp,Technology,JP,59912,System Error,https://therecord.media/breach-0296
297,2021-09-06,Tech International Corp,Transportation,NL,243347,System Error,https://cybernews.com/breach-0297
298,2020-04-18,Data International Inc,Education,ES,368456,Hacking,https://securityweek.com/breach-0298
299,2021-03-14,Gov Services,Government,SE,282730,Insider,https://darkreading.com/breach-0299
300,2023-10-06,State International Services,Government,SE,73888,Physical,https://bleepingcomputer.com/breach-0300
301,2024-12-31,Care 1 Group,Healthcare,FI,47694,Insider,https://darkreading.com/breach-0301
302,2020-05-07,Department Ltd,Government,CN,248677,Physical,https://krebsonsecurity.com/breach-0302
303,2020-07-01,Software Solutions,Manufacturing,CN,232963,Insider,https://cybernews.com/breach-0303
304,2021-03-06,Cloud International LLC,Manufacturing,ES,84551,Insider,https://infosecurity-magazine.com/breach-0304
305,2020-09-24,Finance Solutions,Financial,IN,67614,Hacking,https://therecord.media/breach-0305
306,2021-06-12,Clinic Inc,Healthcare,AT,27568,System Error,https://darkreading.com/breach-0306
307,2023-05-30,Cloud LLC,Energy,GB,142381,Hacking,https://threatpost.com/breach-0307
308,2021-02-13,Tech LLC,Media,FR,293582,Social Engineering,https://krebsonsecurity.com/breach-0308
309,2020-05-15,Care Corp,Healthcare,CH,127944,Hacking,https://securityweek.com/breach-0309
310,2020-08-15,Retail Solutions,Retail,ES,52543,Physical,https://therecord.media/breach-0310
311,2021-03-27,Software LLC,Transportation,BE,585797,System Error,https://krebsonsecurity.com/breach-0311
312,2022-03-01,Store Ltd,Retail,IN,90255,System Error,https://krebsonsecurity.com/breach-0312
313,2022-06-16,Systems Corp,Energy,BR,61079,System Error,https://therecord.media/breach-0313
314,2021-12-24,Tech Group,Technology,JP,48004,Insider,https://threatpost.com/breach-0314
315,2021-03-12,Systems 1 Inc,Energy,AU,198025,System Error,https://securityweek.com/breach-0315
316,2020-08-01,Tech Services,Education,SE,372416,Hacking,https://bleepingcomputer.com/breach-0316
317,2021-11-04,Credit Inc,Financial,AT,704584,Insider,https://darkreading.com/breach-0317
318,2020-03-05,Cloud Corp,Manufacturing,GB,95242,Hacking,https://bleepingcomputer.com/breach-0318
319,2023-03-08,Medical Systems,Healthcare,US,37693,Hacking,https://infosecurity-magazine.com/breach-0319
320,2020-03-14,Software International Services,Education,FR,373424,Hacking,https://bleepingcomputer.com/breach-0320
321,2024-12-31,Cloud Inc,Technology,GB,439508,Hacking,https://cyberscoop.com/breach-0321
322,2020-01-18,Cloud Services,Education,BE,64742,System Error,https://infosecurity-magazine.com/breach-0322
323,2022-06-07,Clinic Ltd,Healthcare,FI,77661,System Error,https://bleepingcomputer.com/breach-0323
324,2021-02-04,Software LLC,Energy,IN,47637,System Error,https://krebsonsecurity.com/breach-0324
325,2021-05-01,Software Solutions,Transportation,IN,54508,Hacking,https://therecord.media/breach-0325
326,2020-03-17,Software International Corp,Manufacturing,IT,34203,System Error,https://darkreading.com/breach-0326
327,2020-05-21,Software Systems,Transportation,CH,74762,Insider,https://therecord.media/breach-0327
328,2020-03-14,Cloud Corp,Education,NO,94800,Hacking,https://threatpost.com/breach-0328
329,2022-11-15,Software 2 Inc,Manufacturing,DE,142581,Unknown,https://infosecurity-magazine.com/breach-0329
330,2020-01-29,Trust Inc,Financial,SE,77988,Insider,https://therecord.media/breach-0330
331,2022-03-22,Clinic Solutions,Healthcare,FI,47109,Insider,https://threatpost.com/breach-0331
332,2020-10-25,Systems Systems,Technology,AU,874349,System Error,https://cybernews.com/breach-0332
333,2023-04-14,Department Global Ltd,Government,CH,485025,Insider,https://threatpost.com/breach-0333
334,2021-12-22,Data Inc,Transportation,CH,258376,Unknown,https://cyberscoop.com/breach-0334
335,2023-07-01,Software Corp,Transportation,CN,288117,Insider,https://darkreading.com/breach-0335
336,2023-01-18,State Ltd,Government,DE,387037,Physical,https://darkreading.com/breach-0336
337,2020-10-25,Care 3 Corp,Healthcare,NL,151759,System Error,https://infosecurity-magazine.com/breach-0337
338,2022-03-27,Cloud 2 Ltd,Media,CH,119496,System Error,https://krebsonsecurity.com/breach-0338
339,2022-01-22,Cloud 3 Corp,Education,NO,416804,Insider,https://darkreading.com/breach-0339
340,2021-05-01,Tech Systems,Manufacturing,AT,1026247,Insider,https://cyberscoop.com/breach-0340
341,2020-11-10,Data Ltd,Transportation,CH,304052,Insider,https://cybernews.com/breach-0341
342,2022-11-22,Tech Inc,Manufacturing,CH,75364,Insider,https://securityweek.com/breach-0342
343,2020-10-19,Health National Solutions,Healthcare,IT,121037,Social Engineering,https://therecord.media/breach-0343
344,2023-10-23,Medical Systems,Healthcare,CN,272109,Hacking,https://securityweek.com/breach-0344
345,2023-01-04,Store Solutions,Retail,SE,25005,Hacking,https://bleepingcomputer.com/breach-0345
346,2022-08-20,Clinic Inc,Healthcare,FR,26623,System Error,https://cyberscoop.com/breach-0346
347,2020-01-11,Tech Corp,Energy,IT,459564,Insider,https://bleepingcomputer.com/breach-0347
348,2020-03-09,Data International Inc,Education,FI,63727,Hacking,https://cybernews.com/breach-0348
349,2022-04-15,Commerce Group,Retail,DE,11306,Unknown,https://infosecurity-magazine.com/breach-0349
350,2023-06-18,Medical Global Inc,Healthcare,CH,71540,Physical,https://securityweek.com/breach-0350
351,2020-11-19,Systems 2 LLC,Education,JP,261558,Insider,https://krebsonsecurity.com/breach-0351
352,2021-09-21,Tech Group,Transportation,NO,117379,System Error,https://infosecurity-magazine.com/breach-0352
353,2020-03-05,Systems Inc,Technology,IN,113216,System Error,https://threatpost.com/breach-0353
354,2020-10-02,Data 3 Solutions,Media,AT,114315,Social Engineering,https://darkreading.com/breach-0354
355,2021-11-23,Data Services,Education,DE,141090,Hacking,https://bleepingcomputer.com/breach-0355
356,2023-09-12,Federal Group,Government,DE,332802,System Error,https://krebsonsecurity.com/breach-0356
357,2020-11-12,Systems Ltd,Media,AT,242789,Social Engineering,https://threatpost.com/breach-0357
358,2020-06-02,Systems Global Group,Education,NL,206010,Insider,https://securityweek.com/breach-0358
359,2022-05-11,Cloud Global Services,Media,FR,191364,System Error,https://securityweek.com/breach-0359
360,2020-10-07,Bank Ltd,Financial,BR,226399,Hacking,https://krebsonsecurity.com/breach-0360
361,2022-01-10,Systems Group,Education,AU,82039,Insider,https://cyberscoop.com/breach-0361
362,2021-10-06,Tech Group,Education,AT,848007,System Error,https://therecord.media/breach-0362
363,2020-01-05,Cloud 1 Services,Manufacturing,BE,207058,Hacking,https://infosecurity-magazine.com/breach-0363
364,2021-10-20,Software Systems,Media,AU,188194,Hacking,https://cyberscoop.com/breach-0364
365,2020-01-27,Clinic Global LLC,Healthcare,IN,17902,Insider,https://krebsonsecurity.com/breach-0365
366,2020-05-28,Department Services,Government,CA,348249,Insider,https://cybernews.com/breach-0366
367,2022-02-22,State Services,Government,FR,45652,Hacking,https://securityweek.com/breach-0367
368,2021-12-02,Cloud Global Inc,Transportation,FI,811617,Hacking,https://bleepingcomputer.com/breach-0368
369,2023-11-14,Systems Corp,Manufacturing,DE,767122,System Error,https://krebsonsecurity.com/breach-0369
370,2020-06-07,Software Solutions,Transportation,SE,782894,System Error,https://therecord.media/breach-0370
371,2020-07-21,Commerce 1 Solutions,Retail,CA,412145,Hacking,https://cybernews.com/breach-0371
372,2021-10-08,Care Solutions,Healthcare,NL,9136,System Error,https://cyberscoop.com/breach-0372
373,2021-07-30,Software Ltd,Media,ES,512359,Insider,https://therecord.media/breach-0373
374,2021-06-08,Agency LLC,Government,CN,443269,Physical,https://threatpost.com/breach-0374
375,2021-03-08,Finance National Corp,Financial,JP,88829,Hacking,https://krebsonsecurity.com/breach-0375
376,2021-08-02,Systems Group,Energy,NL,4353422,Unknown,https://therecord.media/breach-0376
377,2020-05-17,Systems Global Group,Manufacturing,US,212368,Insider,https://krebsonsecurity.com/breach-0377
378,2021-10-09,Cloud Inc,Education,IN,419901,Insider,https://securityweek.com/breach-0378
379,2022-03-23,Tech Inc,Transportation,US,482144,System Error,https://darkreading.com/breach-0379
380,2024-12-31,Shop Solutions,Retail,BE,37570,Hacking,https://cybernews.com/breach-0380
381,2024-11-23,Department Group,Government,IT,530781,Insider,https://therecord.media/breach-0381
382,2024-12-31,Shop Services,Retail,IT,248732,Physical,https://securityweek.com/breach-0382
383,2020-11-19,Market Corp,Retail,IT,42430,System Error,https://infosecurity-magazine.com/breach-0383
384,2024-06-18,Capital Systems,Financial,CH,252309,Unknown,https://securityweek.com/breach-0384
385,2020-06-11,Cloud 2 Group,Manufacturing,JP,65433,Hacking,https://therecord.media/breach-0385
386,2022-05-29,Systems Corp,Media,US,144827,System Error,https://darkreading.com/breach-0386
387,2024-12-31,Systems Group,Manufacturing,FR,327217,System Error,https://therecord.media/breach-0387
388,2021-02-28,Software LLC,Transportation,GB,51757,Hacking,https://krebsonsecurity.com/breach-0388
389,2021-06-13,Market Systems,Retail,NL,30093,Physical,https://infosecurity-magazine.com/breach-0389
390,2021-02-24,Cloud Solutions,Education,FR,44459,Hacking,https://threatpost.com/breach-0390
391,2022-10-21,Data Ltd,Media,IN,427796,Unknown,https://threatpost.com/breach-0391
392,2020-04-28,Software LLC,Manufacturing,US,691805,Social Engineering,https://darkreading.com/breach-0392
393,2023-04-05,Gov 2 Solutions,Government,CH,134545,Insider,https://darkreading.com/breach-0393
394,2021-05-15,Data 1 Systems,Education,ES,90110,Insider,https://cybernews.com/breach-0394
395,2020-09-24,Systems Services,Technology,CN,181186,System Error,https://threatpost.com/breach-0395
396,2020-11-29,Systems Solutions,Technology,IT,101067,System Error,https://cyberscoop.com/breach-0396
397,2022-07-13,State Services,Government,NO,476647,Unknown,https://bleepingcomputer.com/breach-0397
398,2020-11-03,Retail Inc,Retail,FR,71440,System Error,https://bleepingcomputer.com/breach-0398
399,2021-08-08,Bank Solutions,Financial,BR,54586,Hacking,https://cybernews.com/breach-0399
400,2020-01-22,Data Systems,Technology,US,129331,System Error,https://therecord.media/breach-0400
401,2020-04-28,Systems Services,Technology,CH,341323,Insider,https://cybernews.com/breach-0401
402,2021-02-03,Federal Inc,Government,ES,109899,Hacking,https://cybernews.com/breach-0402
403,2020-07-24,Systems Corp,Technology,ES,188993,System Error,https://darkreading.com/breach-0403
404,2022-08-27,Systems Global Systems,Media,IN,173205,Unknown,https://cyberscoop.com/breach-0404
405,2020-07-04,Software Ltd,Energy,IN,756532,System Error,https://darkreading.com/breach-0405
406,2020-11-20,Tech 1 LLC,Transportation,BR,369686,Insider,https://therecord.media/breach-0406
407,2020-01-12,Retail 1 Corp,Retail,IT,48924,Hacking,https://securityweek.com/breach-0407
408,2020-01-10,Credit Systems,Financial,DE,265701,Social Engineering,https://krebsonsecurity.com/breach-0408
409,2023-02-03,Cloud International Corp,Education,CA,49927,System Error,https://cyberscoop.com/breach-0409
410,2024-12-31,Medical Solutions,Healthcare,AU,34435,Insider,https://bleepingcomputer.com/breach-0410
411,2021-01-24,Data National Systems,Transportation,JP,209850,Hacking,https://infosecurity-magazine.com/breach-0411
412,2024-12-31,Medical Solutions,Healthcare,JP,22730,Hacking,https://krebsonsecurity.com/breach-0412
413,2022-07-20,Hospital LLC,Healthcare,AT,7956,Unknown,https://krebsonsecurity.com/breach-0413
414,2021-09-21,Clinic 2 Inc,Healthcare,ES,24536,Insider,https://therecord.media/breach-0414
415,2021-12-12,Market 1 LLC,Retail,US,71712,System Error,https://therecord.media/breach-0415
416,2020-05-05,Market Systems,Retail,AT,7629,System Error,https://threatpost.com/breach-0416
417,2020-04-12,Finance Group,Financial,FI,70358,Social Engineering,https://threatpost.com/breach-0417
418,2023-03-29,Clinic Ltd,Healthcare,BE,98262,System Error,https://threatpost.com/breach-0418
419,2020-08-25,Data National Inc,Media,CN,74083,Insider,https://cyberscoop.com/breach-0419
420,2021-08-18,Systems 2 Group,Manufacturing,FI,243215,Insider,https://therecord.media/breach-0420
421,2022-09-09,Bank Systems,Financial,NO,362284,Social Engineering,https://krebsonsecurity.com/breach-0421
422,2021-04-03,Tech 2 Group,Media,BR,456287,Insider,https://securityweek.com/breach-0422
423,2021-05-12,Systems Solutions,Media,FR,588248,Insider,https://cyberscoop.com/breach-0423
424,2022-08-15,Trust Solutions,Financial,FR,178570,Insider,https://infosecurity-magazine.com/breach-0424
425,2023-02-08,Software Solutions,Transportation,IT,134211,System Error,https://cybernews.com/breach-0425
426,2024-12-31,Agency 1 Solutions,Government,ES,92274,Insider,https://krebsonsecurity.com/breach-0426
427,2021-03-11,Department International LLC,Government,CH,112531,Physical,https://securityweek.com/breach-0427
428,2022-10-11,Retail Solutions,Retail,BR,44353,Physical,https://threatpost.com/breach-0428
429,2022-11-08,Tech Global Group,Manufacturing,AT,79369,Physical,https://infosecurity-magazine.com/breach-0429
430,2024-06-08,Tech Ltd,Energy,SE,373454,Insider,https://krebsonsecurity.com/breach-0430
431,2021-05-21,Data National Ltd,Education,CH,384786,Insider,https://cybernews.com/breach-0431
432,2020-12-10,Capital 1 LLC,Financial,IN,84989,Insider,https://bleepingcomputer.com/breach-0432
433,2020-12-12,Cloud LLC,Energy,FI,84930,Insider,https://cybernews.com/breach-0433
434,2020-02-15,Shop Systems,Retail,IN,86871,Physical,https://infosecurity-magazine.com/breach-0434
435,2020-09-14,Retail 3 Group,Retail,IT,66781,Hacking,https://securityweek.com/breach-0435
436,2022-05-12,Tech Inc,Education,DE,62503,System Error,https://krebsonsecurity.com/breach-0436
437,2020-08-09,Software Corp,Education,AU,337227,System Error,https://cybernews.com/breach-0437
438,2022-03-07,Cloud Corp,Manufacturing,BE,871628,Hacking,https://darkreading.com/breach-0438
439,2020-07-11,Shop National Corp,Retail,BE,5286,Hacking,https://krebsonsecurity.com/breach-0439
440,2020-06-09,Agency Inc,Government,NL,140516,Hacking,https://cybernews.com/breach-0440
441,2024-05-06,Tech Global Corp,Manufacturing,CH,103774,Hacking,https://infosecurity-magazine.com/breach-0441
442,2021-08-20,Cloud Group,Education,ES,1184465,Hacking,https://cybernews.com/breach-0442
443,2020-04-10,Agency International LLC,Government,IN,167504,Unknown,https://securityweek.com/breach-0443
444,2021-06-01,Software Group,Energy,IN,105482,Hacking,https://cybernews.com/breach-0444
445,2020-08-12,Commerce LLC,Retail,DE,138851,Hacking,https://cybernews.com/breach-0445
446,2020-05-03,Cloud Corp,Transportation,AU,608646,System Error,https://darkreading.com/breach-0446
447,2020-03-09,Cloud Corp,Technology,JP,259914,Hacking,https://securityweek.com/breach-0447
448,2020-09-27,Shop LLC,Retail,US,139947,Physical,https://therecord.media/breach-0448
449,2020-04-18,Cloud Corp,Manufacturing,DE,540088,Hacking,https://securityweek.com/breach-0449
450,2024-05-12,Capital Services,Financial,FR,57386,Insider,https://infosecurity-magazine.com/breach-0450
451,2024-08-30,Systems Corp,Energy,BE,123771,Hacking,https://cybernews.com/breach-0451
452,2024-12-31,Tech Solutions,Transportation,NL,253172,System Error,https://darkreading.com/breach-0452
453,2020-04-20,State Corp,Government,NO,545460,Hacking,https://cybernews.com/breach-0453
454,2022-07-07,Trust LLC,Financial,FR,73301,Social Engineering,https://securityweek.com/breach-0454
455,2020-06-24,Cloud National Inc,Manufacturing,CA,174522,System Error,https://cybernews.com/breach-0455
456,2020-10-16,Software Corp,Media,FR,1018387,Hacking,https://threatpost.com/breach-0456
457,2022-06-11,Tech Solutions,Technology,FR,128515,Insider,https://krebsonsecurity.com/breach-0457
458,2020-01-08,Software Services,Media,BR,66992,System Error,https://therecord.media/breach-0458
459,2021-07-11,Credit Group,Financial,BE,175938,Hacking,https://krebsonsecurity.com/breach-0459
460,2020-04-05,Tech Group,Education,GB,67182,Insider,https://cybernews.com/breach-0460
461,2022-04-22,Data 3 Corp,Technology,NO,10299,Social Engineering,https://cybernews.com/breach-0461
462,2021-01-22,Bank Group,Financial,CN,82924,Hacking,https://bleepingcomputer.com/breach-0462
463,2024-12-31,Software Group,Media,FI,447752,Insider,https://infosecurity-magazine.com/breach-0463
464,2021-05-18,Systems Services,Technology,BE,49030,Insider,https://krebsonsecurity.com/breach-0464
465,2021-01-15,Bank Ltd,Financial,US,430982,Social Engineering,https://securityweek.com/breach-0465
466,2021-12-13,Care Inc,Healthcare,JP,50855,System Error,https://infosecurity-magazine.com/breach-0466
467,2022-02-23,Systems Corp,Education,NL,803576,Hacking,https://threatpost.com/breach-0467
468,2021-08-23,Systems Systems,Manufacturing,DE,40771,Insider,https://infosecurity-magazine.com/breach-0468
469,2020-01-12,Systems Systems,Transportation,CH,560108,Physical,https://krebsonsecurity.com/breach-0469
470,2021-08-22,Cloud 1 Solutions,Education,NL,334291,System Error,https://bleepingcomputer.com/breach-0470
471,2020-10-09,Data Ltd,Manufacturing,IN,82055,Hacking,https://bleepingcomputer.com/breach-0471
472,2020-01-16,Software International LLC,Manufacturing,FI,461920,Insider,https://bleepingcomputer.com/breach-0472
473,2020-05-19,Tech Services,Transportation,DE,142467,Hacking,https://infosecurity-magazine.com/breach-0473
474,2020-03-07,Data Corp,Manufacturing,GB,136695,System Error,https://therecord.media/breach-0474
475,2020-04-08,Finance Global Inc,Financial,BR,112070,Social Engineering,https://infosecurity-magazine.com/breach-0475
476,2024-10-12,State 3 Ltd,Government,DE,201235,Hacking,https://krebsonsecurity.com/breach-0476
477,2020-03-09,Tech Inc,Manufacturing,GB,51149,Insider,https://therecord.media/breach-0477
478,2020-08-16,Cloud Inc,Media,ES,454613,Insider,https://therecord.media/breach-0478
479,2020-08-14,Capital 2 Services,Financial,NO,52097,Social Engineering,https://infosecurity-magazine.com/breach-0479
480,2021-02-10,Tech International Services,Education,NO,184588,System Error,https://threatpost.com/breach-0480
481,2020-11-12,Tech Systems,Transportation,AU,69655,Insider,https://cyberscoop.com/breach-0481
482,2020-06-19,Store Services,Retail,BE,17270,Physical,https://infosecurity-magazine.com/breach-0482
483,2020-04-25,Tech Global Services,Transportation,IN,173347,Insider,https://darkreading.com/breach-0483
484,2021-07-09,Systems Solutions,Energy,CA,260693,Hacking,https://krebsonsecurity.com/breach-0484
485,2021-01-02,Data Solutions,Technology,DE,178430,Physical,https://darkreading.com/breach-0485
486,2024-12-31,Systems Corp,Energy,ES,224906,Hacking,https://infosecurity-magazine.com/breach-0486
487,2020-01-01,Systems 3 Systems,Transportation,GB,454237,Social Engineering,https://infosecurity-magazine.com/breach-0487
488,2020-10-19,Systems Ltd,Energy,NL,189656,System Error,https://cyberscoop.com/breach-0488
489,2024-12-31,Cloud National LLC,Technology,CN,192061,Hacking,https://threatpost.com/breach-0489
490,2023-09-25,Systems Solutions,Energy,NO,174593,Social Engineering,https://infosecurity-magazine.com/breach-0490
491,2020-12-02,Retail Services,Retail,FR,30299,System Error,https://infosecurity-magazine.com/breach-0491
492,2021-05-26,Care Inc,Healthcare,GB,115104,Physical,https://therecord.media/breach-0492
493,2021-03-27,Systems National Inc,Transportation,CA,27726,Physical,https://krebsonsecurity.com/breach-0493
494,2022-07-06,Software Services,Education,CH,164025,System Error,https://darkreading.com/breach-0494
495,2021-12-23,Systems Group,Technology,GB,224698,Hacking,https://krebsonsecurity.com/breach-0495
496,2020-01-17,Agency 1 Inc,Government,BE,345682,Insider,https://darkreading.com/breach-0496
497,2022-04-03,Department LLC,Government,US,499395,Hacking,https://darkreading.com/breach-0497
498,2020-05-01,Commerce Corp,Retail,DK,25377,Insider,https://therecord.media/breach-0498
499,2021-06-08,Data Corp,Technology,JP,328362,System Error,https://therecord.media/breach-0499
500,2022-04-14,Department Ltd,Government,DK,293526,Insider,https://krebsonsecurity.com/breach-0500
